power,h,depth,all_starting_values,escape_sample_count,escape_depth4_eligible_count,escape_shorter_than_depth4,TV_all,TV_escape_mean,TV_escape_min,TV_escape_max,TV_escape_minus_TV_all_at_min,TV_escape_gt_TV_all_all_repeats
25,2,4,2097152,328301,328301,0,9.059906005859375e-06,0.0037337697170525936,0.0033844087300432596,0.004200859968812386,0.0033753488240374,True
26,2,4,4194304,651706,651706,0,4.76837158203125e-06,0.004884531070181733,0.00382240162936645,0.005456824678869075,0.0038176332577844188,True
27,2,4,8388608,1308571,1308571,0,2.2649765014648438e-06,0.0037107164659161257,0.0032228193863097256,0.004064691596187688,0.0032205544098082607,True
28,2,4,16777216,2616918,2616918,0,1.1324882507324219e-06,0.0037589580013481366,0.0033364150210919694,0.004132019528780937,0.003335282532841237,True
