table,scope,key,bin_order,actual_mass,iid_mass,delta,ratio,abs_delta,L1_share,from_bin,from_actual_mass,from_iid_mass,conditional_actual,conditional_iid,conditional_delta,abs_conditional_delta
transition,balanced|deep_32_63|even,8-15 -> 4-7,3,0.005194626796245632,0.005634077644024788,-0.000439450847779156,0.9220012794383097,0.000439450847779156,0.021401454047844753,8-15,0.029992903000115628,0.03217238116302335,0.1731951987517049,0.17512156204652318,-0.0019263632948182952,0.0019263632948182952
transition,balanced|deep_32_63|even,8-15 -> 8-15,3,0.024798276203870293,0.026538303518997094,-0.0017400273151268013,0.9344333629359078,0.0017400273151268013,0.08474011329111206,8-15,0.029992903000115628,0.03217238116302335,0.826804801248305,0.8248784379534312,0.001926363294873834,0.001926363294873834
transition,balanced|deep_32_63|even,16-31 -> 16-31,4,0.04903438673018784,0.05378511773255909,-0.00475073100237125,0.9116720163002382,0.00475073100237125,0.23136273773219532,16-31,0.05422901352643173,0.05941919537657547,0.9042094543410424,0.9051808492472876,-0.0009713949062452043,0.0009713949062452043
transition,balanced|deep_32_63|even,16-31 -> 8-15,4,0.005194626796245632,0.005634077644024788,-0.000439450847779156,0.9220012794383097,0.000439450847779156,0.021401454047844753,16-31,0.05422901352643173,0.05941919537657547,0.09579054565898976,0.09481915075285388,0.0009713949061358751,0.0009713949061358751
transition,balanced|deep_32_63|even,32-63 -> 16-31,5,0.005194626796245632,0.005634077644024788,-0.000439450847779156,0.9220012794383097,0.000439450847779156,0.021401454047844753,32-63,0.09647148325445334,0.104296623649724,0.053846241614677735,0.05401975104147772,-0.0001735094267999865,0.0001735094267999865
transition,balanced|deep_32_63|even,32-63 -> 32-63,5,0.09127685645820546,0.09866254600570523,-0.007385689547499769,0.9251419120374951,0.007385689547499769,0.3596864046599773,32-63,0.09647148325445334,0.104296623649724,0.9461537583852989,0.94598024895858,0.00017350942671889857,0.00017350942671889857
transition,balanced|deep_32_63|even,64-95 -> 32-63,6,0.0023852724134922117,0.002685798231032079,-0.00030052581753986724,0.8881055866119982,0.00030052581753986724,0.014635742556361301,64-95,0.013913339871167427,0.01626382803404726,0.17143780253907293,0.16513936481679076,0.006298437722282169,0.006298437722282169
transition,balanced|deep_32_63|even,64-95 -> 64-95,6,0.011528067457675486,0.013578029803014069,-0.002049962345338583,0.8490235788933436,0.002049962345338583,0.09983408873891512,64-95,0.013913339871167427,0.01626382803404726,0.8285621974609465,0.8348606351831409,-0.0062984377221944055,0.0062984377221944055
transition,balanced|deep_32_63|odd,0-1 -> 0-1,0,0.0034197090268135097,0.0036658633092448226,-0.0002461542824313129,0.932852301991036,0.0002461542824313129,0.022103815903620944,0-1,0.0034197090268135097,0.0036658633092448226,1.0,1.0,0.0,0.0
transition,balanced|deep_32_63|odd,2-3 -> 0-1,1,0.0034197090268135097,0.0036658633092448226,-0.0002461542824313129,0.932852301991036,0.0002461542824313129,0.022103815903620944,2-3,0.006107693076133854,0.006452315958841666,0.5599019112758318,0.5681468999083124,-0.008244988632480577,0.008244988632480577
