table,scope,key,bin_order,actual_mass,iid_mass,delta,ratio,abs_delta,L1_share
bin_mass,early_growth|deep_32_63|odd,32-63,5,0.10901424530137821,0.10867446732058124,0.00033977798079697086,1.0031265667932345,0.00033977798079697086,0.12320587261820555
bin_mass,early_growth|deep_32_63|odd,64-95,6,0.01760059434175322,0.017302317125332655,0.00029827721642056507,1.0172391486215364,0.00029827721642056507,0.10815740515329088
bin_mass,early_growth|exhaustion_0_31|even,0-1,0,0.0614565146088438,0.061897240588951484,-0.00044072598010768543,0.9928797152197063,0.00044072598010768543,0.024866402249841796
bin_mass,early_growth|exhaustion_0_31|even,2-3,1,0.10683302862051018,0.10766688392575334,-0.0008338553052431585,0.9922552295112564,0.0008338553052431585,0.04704733184386971
bin_mass,early_growth|exhaustion_0_31|even,4-7,2,0.1873701014102507,0.18836111961867003,-0.0009910182084193198,0.9947387326512732,0.0009910182084193198,0.0559146919395384
bin_mass,early_growth|exhaustion_0_31|even,8-15,3,0.3261606302314027,0.3282313253259499,-0.0020706950945472147,0.9936913544358056,0.0020706950945472147,0.11683163571433698
bin_mass,early_growth|exhaustion_0_31|even,16-31,4,0.5608858495716113,0.5691006291361852,-0.008214779564573949,0.9855653303756792,0.008214779564573949,0.4634898378274976
bin_mass,early_growth|exhaustion_0_31|even,32-63,5,0.21062728947425674,0.21579996866853446,-0.005172679194277718,0.9760302134138727,0.005172679194277718,0.2918501004249155
bin_mass,early_growth|exhaustion_0_31|odd,0-1,0,0.04106988242269347,0.041233730568219856,-0.00016384814552638377,0.9960263564982241,0.00016384814552638377,0.029291600291292928
bin_mass,early_growth|exhaustion_0_31|odd,2-3,1,0.07101510645744359,0.07167746789738356,-0.0006623614399399735,0.9907591400844651,0.0006623614399399735,0.11841224375629426
bin_mass,early_growth|exhaustion_0_31|odd,4-7,2,0.12519878131738565,0.12548407381546525,-0.0002852924980795979,0.9977264644874445,0.0002852924980795979,0.051002553571815656
bin_mass,early_growth|exhaustion_0_31|odd,8-15,3,0.2183525545060819,0.21871709262520236,-0.0003645381191204611,0.9983332892973978,0.0003645381191204611,0.06516951926377987
bin_mass,early_growth|exhaustion_0_31|odd,16-31,4,0.3773794091172287,0.37967175694447103,-0.0022923478272423026,0.9939622903592021,0.0022923478272423026,0.4098095591407412
bin_mass,early_growth|exhaustion_0_31|odd,32-63,5,0.14433115364912671,0.14615645609351716,-0.001825302444390442,0.9875113115549098,0.001825302444390442,0.3263145239760761
bin_mass,early_growth|tail_64_95|even,0-1,0,0.0010642912864685032,0.0013009221359076006,-0.00023663084943909745,0.8181052940005439,0.00023663084943909745,0.014950935182691343
bin_mass,early_growth|tail_64_95|even,2-3,1,0.0017743470966815928,0.002312446654798605,-0.0005380995581170125,0.7673029312912404,0.0005380995581170125,0.03399849019818061
bin_mass,early_growth|tail_64_95|even,4-7,2,0.0032280265629291726,0.004063944374473845,-0.0008359178115446724,0.7943087467448671,0.0008359178115446724,0.05281540022396018
bin_mass,early_growth|tail_64_95|even,8-15,3,0.006369938814640122,0.007550698961185311,-0.0011807601465451886,0.8436224046787011,0.0011807601465451886,0.07460341058297128
bin_mass,early_growth|tail_64_95|even,16-31,4,0.01167387095689719,0.014071513019932069,-0.0023976420630348796,0.8296102160699664,0.0023976420630348796,0.15148908589348958
bin_mass,early_growth|tail_64_95|even,32-63,5,0.020643064701555986,0.025381389193885866,-0.00473832449232988,0.8133150058834724,0.00473832449232988,0.29937931815443986
bin_mass,early_growth|tail_64_95|even,64-95,6,0.019901054650543676,0.02471146200501735,-0.004810407354473675,0.8053369989401281,0.004810407354473675,0.30393369558345773
bin_mass,early_growth|tail_64_95|even,96-127,7,0.0027861958563328037,0.0038755739923953857,-0.001089378136062582,0.7189117952075875,0.001089378136062582,0.0688296641808095
bin_mass,early_growth|tail_64_95|odd,0-1,0,0.0008393957555294018,0.000849441873485283,-1.0046117955881165e-05,0.9881732720396021,1.0046117955881165e-05,0.006071972769871763
bin_mass,early_growth|tail_64_95|odd,2-3,1,0.0016131486594676953,0.0015110132652981282,0.00010213539416956715,1.0675939758539548,0.00010213539416956715,0.06173163952098303
bin_mass,early_growth|tail_64_95|odd,4-7,2,0.0025875996828079208,0.002652541410944115,-6.494172813619435e-05,0.9755171670955819,6.494172813619435e-05,0.03925142095714126
bin_mass,early_growth|tail_64_95|odd,8-15,3,0.0050434493422508225,0.004928179666296398,0.00011526967595442469,1.02338990941072,0.00011526967595442469,0.06967012896533502
bin_mass,early_growth|tail_64_95|odd,16-31,4,0.009404500663280387,0.009198257346284088,0.00020624331699629905,1.0224219989974097,0.00020624331699629905,0.12465549481592922
bin_mass,early_growth|tail_64_95|odd,32-63,5,0.01568190064429994,0.01657090554168206,-0.0008890048973821223,0.9463514594814423,0.0008890048973821223,0.5373233275672221
bin_mass,early_growth|tail_64_95|odd,64-95,6,0.01632006034254771,0.01624419099567198,7.586934687572877e-05,1.0046705525006412,7.586934687572877e-05,0.04585618149423506
bin_mass,early_growth|tail_64_95|odd,96-127,7,0.0023387627303600267,0.002529758677182179,-0.00019099594682215216,0.9245003294010254,0.00019099594682215216,0.11543983390928259
bin_mass,late_growth|deep_32_63|even,0-1,0,0.01428150123953783,0.01723407937665942,-0.0029525781371215875,0.8286779309418556,0.0029525781371215875,0.02157055411120909
bin_mass,late_growth|deep_32_63|even,2-3,1,0.02456528191566405,0.030300210753233903,-0.005734928837569854,0.8107297376815186,0.005734928837569854,0.04189748317222596
bin_mass,late_growth|deep_32_63|even,4-7,2,0.043389462584251186,0.05494144791993904,-0.011551985335687853,0.789740063776232,0.011551985335687853,0.08439496372423602
bin_mass,late_growth|deep_32_63|even,8-15,3,0.08473639770151674,0.10121858179859698,-0.016482184097080244,0.8371624675607863,0.016482184097080244,0.12041335653984712
bin_mass,late_growth|deep_32_63|even,16-31,4,0.15927814954535452,0.19046568736915256,-0.031187537823798045,0.836256397387989,0.031187537823798045,0.22784578120579396
bin_mass,late_growth|deep_32_63|even,32-63,5,0.25895869145416994,0.3156285934680087,-0.05666990201383876,0.8204538397767733,0.05666990201383876,0.4140114608645452
bin_mass,late_growth|deep_32_63|even,64-95,6,0.041873176246877614,0.054174092007416505,-0.012300915760538891,0.7729372970597296,0.012300915760538891,0.08986640038214246
bin_mass,late_growth|deep_32_63|odd,0-1,0,0.011371811890601125,0.011253599216407882,0.00011821267419324238,1.010504432574859,0.00011821267419324238,0.00704191583526231
bin_mass,late_growth|deep_32_63|odd,2-3,1,0.02151941149234747,0.019770891428188504,0.0017485200641589663,1.0884391111301133,0.0017485200641589663,0.10415914547324201
bin_mass,late_growth|deep_32_63|odd,4-7,2,0.03392138108015119,0.035862428008386696,-0.0019410469282355042,0.94587519484789,0.0019410469282355042,0.1156279493227997
bin_mass,late_growth|deep_32_63|odd,8-15,3,0.06937097916601231,0.066110734604274,0.003260244561738318,1.0493149044743415,0.003260244561738318,0.19421240541942925
bin_mass,late_growth|deep_32_63|odd,16-31,4,0.12867941392054327,0.12435703756621054,0.004322376354332733,1.0347577944837372,0.004322376354332733,0.2574834780049246
bin_mass,late_growth|deep_32_63|odd,32-63,5,0.2039536329389166,0.20775354922603018,-0.0037999162871135694,0.9817095000240917,0.0037999162871135694,0.22636058999184594
bin_mass,late_growth|deep_32_63|odd,64-95,6,0.03501666648984015,0.03661335431576353,-0.0015966878259233777,0.9563905614286768,0.0015966878259233777,0.09511451595249616
bin_mass,late_growth|exhaustion_0_31|even,0-1,0,0.0600860809445253,0.06096195594081186,-0.0008758749962865589,0.9856324328383271,0.0008758749962865589,0.026077689361616592
bin_mass,late_growth|exhaustion_0_31|even,2-3,1,0.10602832449677371,0.10790908954455948,-0.001880765047785768,0.9825708375844545,0.001880765047785768,0.05599658271589354
bin_mass,late_growth|exhaustion_0_31|even,4-7,2,0.19054548565155757,0.1944206825760676,-0.0038751969245100215,0.9800679800463419,0.0038751969245100215,0.11537740207325418
bin_mass,late_growth|exhaustion_0_31|even,8-15,3,0.35676038198418675,0.3632859310404266,-0.0065255490562398655,0.9820374297525062,0.0065255490562398655,0.19428713220960453
bin_mass,late_growth|exhaustion_0_31|even,16-31,4,0.5624815128926747,0.5725273313343892,-0.010045818441714482,0.9824535565519629,0.010045818441714482,0.2990971700492756
bin_mass,late_growth|exhaustion_0_31|even,32-63,5,0.2211753240229257,0.23155925928111276,-0.010383935258187066,0.9551564671159145,0.010383935258187066,0.30916402359035555
bin_mass,late_growth|exhaustion_0_31|odd,0-1,0,0.04244254693985576,0.040780699890667224,0.0016618470491885362,1.040750822169407,0.0016618470491885362,0.04105698083101808
bin_mass,late_growth|exhaustion_0_31|odd,2-3,1,0.07635074676271912,0.07216471629898533,0.004186030463733795,1.0580066087475584,0.004186030463733795,0.10341852614625187
bin_mass,late_growth|exhaustion_0_31|odd,4-7,2,0.13427193530796402,0.13003968789997314,0.004232247407990886,1.032545813330822,0.004232247407990886,0.10456034494080228
bin_mass,late_growth|exhaustion_0_31|odd,8-15,3,0.25206860094075645,0.24291867482472734,0.009149926116029106,1.0376666228836915,0.009149926116029106,0.2260547030092053
bin_mass,late_growth|exhaustion_0_31|odd,16-31,4,0.4019291491514306,0.38406557094107135,0.01786357821035922,1.046511792677975,0.01786357821035922,0.4413309807988858
bin_mass,late_growth|exhaustion_0_31|odd,32-63,5,0.16141021705866943,0.15802724487177516,0.003382972186894262,1.021407524946975,0.003382972186894262,0.08357846427383671
bin_mass,late_growth|tail_64_95|even,0-1,0,0.0018780236005783095,0.0039041466614541795,-0.0020261230608758698,0.48103305624251347,0.0020261230608758698,0.015334186349081765
bin_mass,late_growth|tail_64_95|even,2-3,1,0.0034268124938011337,0.006950956980979971,-0.0035241444871788375,0.4929986623680714,0.0035241444871788375,0.02667157258657757
bin_mass,late_growth|tail_64_95|even,4-7,2,0.005310350382328131,0.012406799663839837,-0.007096449281511706,0.42801935440332617,0.007096449281511706,0.053707633954112835
bin_mass,late_growth|tail_64_95|even,8-15,3,0.011275334274768324,0.02298733096738458,-0.011711996692616255,0.4905021070417552,0.011711996692616255,0.08863920621226755
bin_mass,late_growth|tail_64_95|even,16-31,4,0.02130670822262612,0.04321945571051802,-0.021912747487891904,0.49298881423536417,0.021912747487891904,0.1658409402114266
bin_mass,late_growth|tail_64_95|even,32-63,5,0.038485505789517545,0.08220797332086761,-0.04372246753135007,0.46814809117485456,0.04372246753135007,0.3309021439584088
bin_mass,late_growth|tail_64_95|even,64-95,6,0.033205396628379125,0.06786492988053719,-0.034659533252158065,0.48928653852336795,0.034659533252158065,0.2623116788528318
bin_mass,late_growth|tail_64_95|even,96-127,7,0.005197986859083323,0.01267563491060806,-0.007477648051524737,0.41007704116921206,0.007477648051524737,0.05659263787529307
bin_mass,late_growth|tail_64_95|odd,0-1,0,0.00173604245185852,0.0025498276113673796,-0.0008137851595088597,0.6808469890745059,0.0008137851595088597,0.015105719434150965
bin_mass,late_growth|tail_64_95|odd,2-3,1,0.0033304450988769587,0.004541804794800801,-0.001211359695923842,0.7332867107563633,0.001211359695923842,0.02248561489067652
bin_mass,late_growth|tail_64_95|odd,4-7,2,0.005285170215368388,0.008110436136331218,-0.00282526592096283,0.6516505557195783,0.00282526592096283,0.05244341682845349
bin_mass,late_growth|tail_64_95|odd,8-15,3,0.010496905410288561,0.01502091972664361,-0.00452401431635505,0.6988190870675847,0.00452401431635505,0.08397608408119128
bin_mass,late_growth|tail_64_95|odd,16-31,4,0.02026454768180949,0.028219555519548932,-0.00795500783773944,0.7181030072486912,0.00795500783773944,0.14766319475018105
bin_mass,late_growth|tail_64_95|odd,32-63,5,0.034179941731691976,0.05369853918744709,-0.019518597455755113,0.6365152990918251,0.019518597455755113,0.36230994565287306
bin_mass,late_growth|tail_64_95|odd,64-95,6,0.031009383547306254,0.04463396367461613,-0.013624580127309879,0.6947485948898968,0.013624580127309879,0.25290346279534387
bin_mass,late_growth|tail_64_95|odd,96-127,7,0.004953517258167318,0.008353558295988057,-0.003400041037820739,0.5929829041291699,0.003400041037820739,0.06311256156712992
