block_len,state,score_decile,score_min,score_max,actual_mass,iid_mass,survival_ratio
3,balanced|deep_32_63|even,0,-7.76547467212114,-2.4569256140149744,0.0002219326794147487,0.0003238767000801351,0.6852381766265899
3,balanced|deep_32_63|even,1,-2.4561333262840406,-1.6694638394340946,0.00023425617218017535,0.0003148586836722733,0.7440041654496827
3,balanced|deep_32_63|even,2,-1.668103401630641,-1.0905648245274937,0.0002325069844722746,0.00031177911917212885,0.7457426433484494
3,balanced|deep_32_63|even,3,-1.089789787449365,-0.6446287532000088,0.0002544165313243862,0.00029070656150205487,0.8751661125563823
3,balanced|deep_32_63|even,4,-0.6442450594901165,-0.17417280367884247,0.00019920904040336568,0.0003453204834432694,0.5768816214346941
3,balanced|deep_32_63|even,5,-0.1733349459584999,0.2574110912676364,0.0002482334554195401,0.0002970719637421047,0.835600412414002
3,balanced|deep_32_63|even,6,0.2578630353497939,0.7248977692330554,0.0002624872267246245,0.00028316878182011834,0.9269638589304956
3,balanced|deep_32_63|even,7,0.7267368171503765,1.3149665811827547,0.000276313751935959,0.000271793433676924,1.016631447632426
3,balanced|deep_32_63|even,8,1.315640154253937,2.155283923707719,0.00028411819338798535,0.00026099468837129667,1.0885976077175665
3,balanced|deep_32_63|even,9,2.157534871034363,5.552941726128212,0.00036322302222251916,0.00018025062101519802,2.015099976781182
3,balanced|deep_32_63|odd,0,-7.327289446511967,-2.656856317639324,0.0001457621634006501,0.00021667191546352976,0.6727321493827141
3,balanced|deep_32_63|odd,1,-2.651248907245144,-1.8059343890620834,0.00014606539607048044,0.00021553133072615572,0.6776991334780207
3,balanced|deep_32_63|odd,2,-1.8055655296123319,-1.1837833011567294,0.00014038735628128056,0.0002196744591044092,0.6390699986408332
3,balanced|deep_32_63|odd,3,-1.1817075404943116,-0.7083695265413985,0.00016368498206138627,0.00019681998483554156,0.8316481794171351
3,balanced|deep_32_63|odd,4,-0.7076826984767804,-0.24525217306095398,0.00017827268242836015,0.00018314827686607092,0.973378977290209
3,balanced|deep_32_63|odd,5,-0.2440436831823825,0.23628489567884856,0.00017846862673759475,0.0001840764621121192,0.9695352935938721
3,balanced|deep_32_63|odd,6,0.2366501035432038,0.7835120287846729,0.00016459514498710651,0.00019491946450509606,0.8444264168538349
3,balanced|deep_32_63|odd,7,0.7841586352116967,1.3614581422065177,0.00019342538118362443,0.00017468202164288744,1.107299877597336
3,balanced|deep_32_63|odd,8,1.361862731401145,2.1178679848643793,0.0001961859285831453,0.00015815262263151538,1.2404848261052546
3,balanced|deep_32_63|odd,9,2.118787326413654,5.342642633093264,0.00023050702810287492,0.00013039566464752593,1.7677507049483678
3,balanced|exhaustion_0_31|even,0,-2.4266072584335965,-0.5653426954504992,0.0019106000840663953,0.0020157232244130572,0.9478484252830535
3,balanced|exhaustion_0_31|even,1,-0.5650508547770028,-0.3532649663150617,0.0019075054585933706,0.0020213463793937844,0.9436806467407355
3,balanced|exhaustion_0_31|even,2,-0.35321910632243336,-0.21471626297988558,0.001958878773450854,0.001967436261739453,0.9956504368375151
3,balanced|exhaustion_0_31|even,3,-0.2146880738531922,-0.10199211210276814,0.0018981551647186297,0.002024370929943456,0.9376518584821054
3,balanced|exhaustion_0_31|even,4,-0.101969488678511,0.006071817964481639,0.001841097414493564,0.002084885480415411,0.8830688456455303
3,balanced|exhaustion_0_31|even,5,0.006084925063738268,0.10264642981485327,0.0019907697498798434,0.001937208854398506,1.027648487853917
3,balanced|exhaustion_0_31|even,6,0.10268536866762627,0.2098821160039024,0.001932020044326783,0.0019918511161798637,0.9699620762982377
3,balanced|exhaustion_0_31|even,7,0.20991148969543388,0.33098827798893166,0.0019625598192215005,0.00196948291778218,0.9964848141112717
3,balanced|exhaustion_0_31|even,8,0.3310916507964417,0.516967169711772,0.001891071105003359,0.002028570645043457,0.93221851041961
3,balanced|exhaustion_0_31|even,9,0.517527763736368,2.1134012672703038,0.002123513334989548,0.0018024138478745506,1.1781497004662083
