block_len,bridge_abs_coef_base,bridge_abs_coef_plus,bridge_abs_reduction,parity_even_coef_base,parity_even_coef_plus,parity_abs_reduction,block_score_coef
3,1.1201235126901625,1.1118299719055882,0.008293540784574338,0.37874119848515647,0.3780585029326522,0.0006826955525042755,0.27081085458276083
4,1.1201235126901625,1.108999393495168,0.011124119194994453,0.37874119848515647,0.37736865754371973,0.0013725409414367395,0.3124546056288464
5,1.1201235126901625,1.105173063610244,0.014950449079918604,0.37874119848515647,0.3763387901381374,0.002402408347019047,0.36112188128918843
6,1.1201235126901625,1.10113421177159,0.018989300918572427,0.37874119848515647,0.37494472785675875,0.003796470628397719,0.41035185288679343
