block_len,regularization,state,actual_mass,iid_eval_mass,iid_test_mass,predicted_mass,prediction_error
3,0.0,balanced|deep_32_63|even,0.0025766970574855872,0.0002080895976841231,0.0028798210364953383,0.002538457023958245,-3.8240033527342076e-05
3,0.0,balanced|deep_32_63|odd,0.0017373546898365034,0.00013824431210371528,0.0018740722025348253,0.001689153188320296,-4.8201501516207355e-05
3,0.0,balanced|exhaustion_0_31|even,0.019416170948743663,0.00140362765960385,0.019843289657186593,0.019908306135452653,0.0004921351867089897
3,0.0,balanced|exhaustion_0_31|odd,0.013147660017012742,0.0009330705086656742,0.013195164986166663,0.013163701355734315,1.6041338721572984e-05
3,0.0,balanced|tail_64_95|even,0.0002954455256462099,3.7593032639512814e-05,0.0004485554136449653,0.00018763595150960482,-0.00010780957413660509
3,0.0,balanced|tail_64_95|odd,0.00033909694552421605,2.314950274931488e-05,0.00028895113867036747,0.00011176610725442709,-0.00022733083826978896
3,0.0,early_growth|deep_32_63|even,0.003946294414997123,0.0003181748079721489,0.004491766665295692,0.004104507634727691,0.00015821321973056787
3,0.0,early_growth|deep_32_63|odd,0.0029997123301029236,0.00021367605699819516,0.0029192648397982734,0.0026724994379238066,-0.00032721289217911695
3,0.0,early_growth|exhaustion_0_31|even,0.030668515223263824,0.0022144418602701448,0.031005100068522497,0.03169155286185446,0.0010230376385906362
3,0.0,early_growth|exhaustion_0_31|odd,0.020774236023425305,0.0014654358817489295,0.020651721625543292,0.020914277033148347,0.0001400410097230423
3,0.0,early_growth|tail_64_95|even,0.0005646349489688855,4.0653906370376436e-05,0.0006466880497702996,0.00017602134269812997,-0.00038861360627075555
3,0.0,early_growth|tail_64_95|odd,0.0003856758654117592,2.8364503276257303e-05,0.00042074555876016903,0.0001704506349391289,-0.0002152252304726303
3,0.0,late_growth|deep_32_63|even,0.0068791226208210834,0.0006325459374224569,0.008840409229221365,0.0077386650538180425,0.0008595424329969591
