block_len,alpha,level,state,actual_mass,iid_mass,predicted_mass,actual_survival_ratio,predicted_survival_ratio,prediction_error
3,0.0,cluster,balanced,0.03751242518424893,0.03852985443469876,0.03740896784485562,0.9735937426866175,0.9709086212162352,-0.00010345733939331331
3,0.0,cluster,early_growth,0.05933906880616982,0.06013528680769023,0.05838586840089738,0.9867595542685832,0.9709086212162352,-0.0009532004052724419
3,0.0,cluster,late_growth,0.06570396670698969,0.06876097605151131,0.06676062445165543,0.9555415074063012,0.9709086212162353,0.0010566577446657344
3,0.0,cluster_xK,balanced|deep_32_63,0.004314051747322091,0.004753893239030164,0.004615595930115959,0.9074776252657696,0.9709086212162352,0.00030154418279386853
3,0.0,cluster_xK,balanced|exhaustion_0_31,0.03256383096575641,0.033038454643353254,0.03207732044489324,0.9856342046648259,0.9709086212162354,-0.0004865105208631676
3,0.0,cluster_xK,balanced|tail_64_95,0.0006345424711704259,0.0007375065523153328,0.000716051469846419,0.8603889269571087,0.9709086212162353,8.150899867599313e-05
3,0.0,cluster_xK,early_growth|deep_32_63,0.006946006745100047,0.007411031505093965,0.007195434380400862,0.9372523568852347,0.9709086212162352,0.0002494276353008154
3,0.0,cluster_xK,early_growth|exhaustion_0_31,0.05144275124668913,0.05165682169406579,0.05015405352739833,0.9958559113713097,0.9709086212162353,-0.001288697719290799
3,0.0,cluster_xK,early_growth|tail_64_95,0.0009503108143806447,0.0010674336085304686,0.001036380493098188,0.8902762727219481,0.9709086212162354,8.606967871754335e-05
3,0.0,cluster_xK,late_growth|deep_32_63,0.012615925377607525,0.014609275967645018,0.014184271986713706,0.8635558261441469,0.9709086212162353,0.0015683466091061804
3,0.0,cluster_xK,late_growth|exhaustion_0_31,0.0513107207298262,0.0509279410579799,0.04944637703398497,1.0075161034177782,0.9709086212162353,-0.0018643436958412293
3,0.0,cluster_xK,late_growth|tail_64_95,0.0017773205995559667,0.0032237590258863934,0.003129975430956752,0.551319309316949,0.9709086212162353,0.0013526548314007855
3,0.0,cluster_xK_parity,balanced|deep_32_63|even,0.0025766970574855872,0.0028798210364953383,0.0027960430718931987,0.8947420776609631,0.9709086212162353,0.00021934601440761143
3,0.0,cluster_xK_parity,balanced|deep_32_63|odd,0.0017373546898365034,0.0018740722025348253,0.0018195528582227605,0.9270478946790839,0.9709086212162353,8.21981683862571e-05
3,0.0,cluster_xK_parity,balanced|exhaustion_0_31|even,0.019416170948743663,0.019843289657186593,0.01926602100145342,0.9784754082704104,0.9709086212162353,-0.00015014994729024497
3,0.0,cluster_xK_parity,balanced|exhaustion_0_31|odd,0.013147660017012742,0.013195164986166663,0.01281129944343982,0.9963998199943901,0.9709086212162353,-0.0003363605735729226
3,0.0,cluster_xK_parity,balanced|tail_64_95|even,0.0002954455256462099,0.0004485554136449653,0.00043550631820111135,0.6586600376649496,0.9709086212162353,0.00014006079255490144
3,0.0,cluster_xK_parity,balanced|tail_64_95|odd,0.00033909694552421605,0.00028895113867036747,0.0002805451516453077,1.1735442437936,0.9709086212162352,-5.855179387890836e-05
3,0.0,cluster_xK_parity,early_growth|deep_32_63|even,0.003946294414997123,0.004491766665295692,0.004361094979827287,0.8785617573341467,0.9709086212162352,0.0004148005648301643
3,0.0,cluster_xK_parity,early_growth|deep_32_63|odd,0.0029997123301029236,0.0029192648397982734,0.0028343394005735756,1.0275574484397274,0.9709086212162352,-0.00016537292952934803
3,0.0,cluster_xK_parity,early_growth|exhaustion_0_31|even,0.030668515223263824,0.031005100068522497,0.030103118958200583,0.9891442103229854,0.9709086212162353,-0.0005653962650632414
3,0.0,cluster_xK_parity,early_growth|exhaustion_0_31|odd,0.020774236023425305,0.020651721625543292,0.020050934569197747,1.0059324060290682,0.9709086212162353,-0.0007233014542275575
3,0.0,cluster_xK_parity,early_growth|tail_64_95|even,0.0005646349489688855,0.0006466880497702996,0.0006278750027594978,0.8731179572120453,0.9709086212162353,6.324005379061226e-05
3,0.0,cluster_xK_parity,early_growth|tail_64_95|odd,0.0003856758654117592,0.00042074555876016903,0.00040850549033869026,0.9166486903587258,0.9709086212162353,2.282962492693104e-05
3,0.0,cluster_xK_parity,late_growth|deep_32_63|even,0.0068791226208210834,0.008840409229221365,0.008583229535730597,0.7781452693482352,0.9709086212162353,0.001704106914909513
3,0.0,cluster_xK_parity,late_growth|deep_32_63|odd,0.005736802756786443,0.005768866738423653,0.00560104245098311,0.9944418924736729,0.9709086212162354,-0.0001357603058033327
3,0.0,cluster_xK_parity,late_growth|exhaustion_0_31|even,0.030098448854684257,0.030514758811273756,0.02962704240419977,0.9863570949662662,0.9709086212162353,-0.0004714064504844871
3,0.0,cluster_xK_parity,late_growth|exhaustion_0_31|odd,0.02121227187514194,0.020413182246706147,0.019819334629785197,1.0391457646719797,0.9709086212162352,-0.0013929372453567422
3,0.0,cluster_xK_parity,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,0.0018916716750787652,0.4724608061532055,0.9709086212162353,0.0009711517568754134
3,0.0,cluster_xK_parity,late_growth|tail_64_95|odd,0.0008568006813526151,0.0012754071071351615,0.001238303755877987,0.6717860333060034,0.9709086212162353,0.0003815030745253719
3,0.25,cluster,balanced,0.03751242518424893,0.03852985443469876,0.03804729530284445,0.9735937426866175,0.9874757084101587,0.0005348701185955221
3,0.25,cluster,early_growth,0.05933906880616982,0.06013528680769023,0.05931452210602072,0.9867595542685832,0.9863513629810352,-2.454670014909871e-05
3,0.25,cluster,late_growth,0.06570396670698969,0.06876097605151131,0.06519364328854325,0.9555415074063012,0.9481198062067118,-0.0005103234184464372
3,0.25,cluster_xK,balanced|deep_32_63,0.004314051747322091,0.004753893239030164,0.004601070255785319,0.9074776252657696,0.9678530889187528,0.0002870185084632281
3,0.25,cluster_xK,balanced|exhaustion_0_31,0.03256383096575641,0.033038454643353254,0.0329541980419328,0.9856342046648259,0.9974497414503798,0.00039036707617639416
3,0.25,cluster_xK,balanced|tail_64_95,0.0006345424711704259,0.0007375065523153328,0.0004920270051263369,0.8603889269571087,0.6671493339030876,-0.00014251546604408902
3,0.25,cluster_xK,early_growth|deep_32_63,0.006946006745100047,0.007411031505093965,0.007133476440289547,0.9372523568852347,0.9625483895711897,0.00018746969518949972
3,0.25,cluster_xK,early_growth|exhaustion_0_31,0.05144275124668913,0.05165682169406579,0.05150911160103979,0.9958559113713097,0.9971405501116425,6.636035435066134e-05
3,0.25,cluster_xK,early_growth|tail_64_95,0.0009503108143806447,0.0010674336085304686,0.0006719340646913834,0.8902762727219481,0.6294855804816116,-0.0002783767496892613
3,0.25,cluster_xK,late_growth|deep_32_63,0.012615925377607525,0.014609275967645018,0.013069618595824513,0.8635558261441469,0.8946109735191282,0.0004536932182169877
3,0.25,cluster_xK,late_growth|exhaustion_0_31,0.0513107207298262,0.0509279410579799,0.05057523418256458,1.0075161034177782,0.9930743935826155,-0.0007354865472616184
3,0.25,cluster_xK,late_growth|tail_64_95,0.0017773205995559667,0.0032237590258863934,0.0015487905101541537,0.551319309316949,0.48042998801013165,-0.000228530089401813
3,0.25,cluster_xK_parity,balanced|deep_32_63|even,0.0025766970574855872,0.0028798210364953383,0.0027958326949095477,0.8947420776609631,0.9708355691130022,0.00021913563742396048
3,0.25,cluster_xK_parity,balanced|deep_32_63|odd,0.0017373546898365034,0.0018740722025348253,0.0018052375608757713,0.9270478946790839,0.9632700161893709,6.788287103926785e-05
3,0.25,cluster_xK_parity,balanced|exhaustion_0_31|even,0.019416170948743663,0.019843289657186593,0.01979972366060701,0.9784754082704104,0.9978044972717612,0.00038355271186334486
3,0.25,cluster_xK_parity,balanced|exhaustion_0_31|odd,0.013147660017012742,0.013195164986166663,0.013154474381325795,0.9963998199943901,0.9969162488772572,6.8143643130527676e-06
3,0.25,cluster_xK_parity,balanced|tail_64_95|even,0.0002954455256462099,0.0004485554136449653,0.000317783977737629,0.6586600376649496,0.7084609126781317,2.23384520914191e-05
3,0.25,cluster_xK_parity,balanced|tail_64_95|odd,0.00033909694552421605,0.00028895113867036747,0.00017424302738870787,1.1735442437936,0.6030190024185458,-0.00016485391813550817
3,0.25,cluster_xK_parity,early_growth|deep_32_63|even,0.003946294414997123,0.004491766665295692,0.004347403934092842,0.8785617573341467,0.9678605898391325,0.00040110951909571885
3,0.25,cluster_xK_parity,early_growth|deep_32_63|odd,0.0029997123301029236,0.0029192648397982734,0.002786072506196705,1.0275574484397274,0.954374700169111,-0.0002136398239062187
3,0.25,cluster_xK_parity,early_growth|exhaustion_0_31|even,0.030668515223263824,0.031005100068522497,0.030943074513964285,0.9891442103229854,0.9979995047775646,0.00027455929070046084
3,0.25,cluster_xK_parity,early_growth|exhaustion_0_31|odd,0.020774236023425305,0.020651721625543292,0.020566037087075505,1.0059324060290682,0.9958509735884776,-0.0002081989363497995
3,0.25,cluster_xK_parity,early_growth|tail_64_95|even,0.0005646349489688855,0.0006466880497702996,0.00038176397925369,0.8731179572120453,0.5903371484741223,-0.00018287096971519553
3,0.25,cluster_xK_parity,early_growth|tail_64_95|odd,0.0003856758654117592,0.00042074555876016903,0.00029017008543769345,0.9166486903587258,0.6896569182875072,-9.550577997406576e-05
3,0.25,cluster_xK_parity,late_growth|deep_32_63|even,0.0068791226208210834,0.008840409229221365,0.008017532649069263,0.7781452693482352,0.9069187230120366,0.0011384100282481793
3,0.25,cluster_xK_parity,late_growth|deep_32_63|odd,0.005736802756786443,0.005768866738423653,0.005052085946755249,0.9944418924736729,0.8757501561105111,-0.0006847168100311933
3,0.25,cluster_xK_parity,late_growth|exhaustion_0_31|even,0.030098448854684257,0.030514758811273756,0.03032721216380736,0.9863570949662662,0.99385390365933,0.000228763309123102
3,0.25,cluster_xK_parity,late_growth|exhaustion_0_31|odd,0.02121227187514194,0.020413182246706147,0.02024802201875722,1.0391457646719797,0.9919091386167593,-0.0009642498563847204
3,0.25,cluster_xK_parity,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,0.001063148693106526,0.4724608061532055,0.5456656381604489,0.0001426287749031743
3,0.25,cluster_xK_parity,late_growth|tail_64_95|odd,0.0008568006813526151,0.0012754071071351615,0.00048564181704762767,0.6717860333060034,0.380773961765419,-0.0003711588643049874
3,0.5,cluster,balanced,0.03751242518424893,0.03852985443469876,0.03821584361564371,0.9735937426866175,0.991850194513783,0.0007034184313947783
3,0.5,cluster,early_growth,0.05933906880616982,0.06013528680769023,0.058980681320733336,0.9867595542685832,0.9807998672950664,-0.00035838748543648435
3,0.5,cluster,late_growth,0.06570396670698969,0.06876097605151131,0.0653589357610314,0.9555415074063012,0.950523676570104,-0.000345030945958294
3,0.5,cluster_xK,balanced|deep_32_63,0.004314051747322091,0.004753893239030164,0.004800828354062982,0.9074776252657696,1.0098729846618082,0.00048677660674089143
3,0.5,cluster_xK,balanced|exhaustion_0_31,0.03256383096575641,0.033038454643353254,0.03267293140861389,0.9856342046648259,0.9889364306325719,0.00010910044285748072
3,0.5,cluster_xK,balanced|tail_64_95,0.0006345424711704259,0.0007375065523153328,0.0007420838529668338,0.8603889269571087,1.0062064542167537,0.00010754138179640792
3,0.5,cluster_xK,early_growth|deep_32_63,0.006946006745100047,0.007411031505093965,0.00722170749113936,0.9372523568852347,0.9744537566970977,0.00027570074603931304
3,0.5,cluster_xK,early_growth|exhaustion_0_31,0.05144275124668913,0.05165682169406579,0.050919102753083464,0.9958559113713097,0.9857188476412386,-0.0005236484936056648
3,0.5,cluster_xK,early_growth|tail_64_95,0.0009503108143806447,0.0010674336085304686,0.0008398710765105115,0.8902762727219481,0.786813409095071,-0.0001104397378701332
3,0.5,cluster_xK,late_growth|deep_32_63,0.012615925377607525,0.014609275967645018,0.01354110401302021,0.8635558261441469,0.9268839908979422,0.0009251786354126847
3,0.5,cluster_xK,late_growth|exhaustion_0_31,0.0513107207298262,0.0509279410579799,0.05007134462262439,1.0075161034177782,0.9831802264619278,-0.0012393761072018034
3,0.5,cluster_xK,late_growth|tail_64_95,0.0017773205995559667,0.0032237590258863934,0.0017464871253867916,0.551319309316949,0.5417548617507426,-3.083347416917514e-05
3,0.5,cluster_xK_parity,balanced|deep_32_63|even,0.0025766970574855872,0.0028798210364953383,0.002912900288244117,0.8947420776609631,1.0114865650780283,0.00033620323075852967
