block_len,test_rows,marginal_score_auc,focus_state_score_auc,logistic_auc_base,logistic_auc_plus_score,logistic_auc_delta
3,607491,0.5610829834421279,0.771250998938426,0.5025128775872034,0.5362569597582328,0.03374408217102942
4,607491,0.5768331946108398,0.8226424366217626,0.5025128775872034,0.5436426851707031,0.04112980758349971
5,607491,0.5966045700703824,0.8750709667359152,0.5025128775872034,0.5535793062720755,0.0510664286848721
6,607491,0.6198418918641566,0.9051084012738739,0.5025128775872034,0.5642899938526362,0.06177711626543281
