block_len,regularization,state,actual_mass,iid_mass,predicted_mass,prediction_error,actual_survival_ratio,predicted_survival_ratio
3,0.0,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,0.0005873150042011826,-0.0003332049140021691,0.4724608061532055,0.30144195129677276
3,0.5,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,0.0007860488933548731,-0.00013447102484847868,0.4724608061532055,0.40344297443897087
3,0.75,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,0.0011539431808934599,0.00023342326269010813,0.4724608061532055,0.592266299423496
3,0.9,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,0.001469286137119978,0.0005487662189166262,0.4724608061532055,0.7541174276471038
4,0.0,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,0.006458826926293427,0.005538307008090076,0.4724608061532055,3.315020692172038
4,0.5,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,0.0003144177562428594,-0.0006061021619604924,0.4724608061532055,0.16137626535373595
4,0.75,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,0.0007037758579575225,-0.0002167440602458292,0.4724608061532055,0.36121598525619414
4,0.9,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,0.0012097478578795857,0.00028922793967623393,0.4724608061532055,0.6209082898406547
5,0.0,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,1.4949539571107506e-05,-0.0009055703786322442,0.4724608061532055,0.007672915466261966
5,0.5,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,9.964236316920585e-05,-0.0008208775550341458,0.4724608061532055,0.05114187134789807
5,0.75,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,0.00029695611928118077,-0.000623563798922171,0.4724608061532055,0.15241400510001835
5,0.9,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,0.0008650696675130231,-5.5450250690328596e-05,0.4724608061532055,0.444000726556359
6,0.0,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,2.3908962586884126e-07,-0.0009202808285774829,0.4724608061532055,0.00012271377853651937
6,0.5,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,5.185785556735877e-05,-0.0008686620626359929,0.4724608061532055,0.026616267353074652
6,0.75,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,8.827825589375704e-05,-0.0008322416623095947,0.4724608061532055,0.04530919442435108
6,0.9,late_growth|tail_64_95|even,0.0009205199182033517,0.0019483519187512319,0.0005424676232805224,-0.00037805229492282935,0.4724608061532055,0.2784238402003932
